Advertiser,Brand Root,Brand (Major),Brand (Minor),Brand (Leaf),Publisher,Date,Device,Direct/Indirect,Type,First Seen,Last Seen,Creative Text,Link to Creative,Creative ID,Spend (USD),Impressions
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,Facebook,12/30/23,Facebook,Direct,Video Post,10/1/23,1/1/24,Support your immune system now and support your favorite team later with Nature Made Vitamin D Extra Strength. † ... See more,https://s3.amazonaws.com/YM_Ads/720371940135054.png,459300835,458.217,61037
"Pharmavite, LLC.",Nature Made,Nature Made Multi Complete,Nature Made Multi Complete,Nature Made Multi Complete,Facebook,12/30/23,Facebook,Direct,Video Post,10/1/23,1/1/24,"Freshen up your morning with vitamins from Nature Made, the #1 Pharmacist recommended vitamin and supplement brand*. ... See more",https://s3.amazonaws.com/YM_Ads/720374806801434.png,459294491,458.217,61037
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,Hulu,12/30/23,OTT,Direct,Video,10/1/23,4/12/24,"Start your day with nature. May the number one pharmacist, recommended vitamin and supplement brand.",https://s3.amazonaws.com/YM_Ads/ehY-e3QLglNeJqn_47JtdA.mp4,459444958,1210.791,40359
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,Hulu,12/30/23,OTT,Direct,Video,12/7/23,12/30/23,Start your day with nature. Made the number one pharmacist recommended vitamin and supplement brand.,https://s3.amazonaws.com/YM_Ads/M56zDiGjvgtkkHUNZ7vu-Q.mp4,486189134,4843.1641,161436
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,Instagram,12/30/23,Instagram,Direct,Video Post,10/2/23,1/1/24,"Whatever your routine, start with vitamins from Nature Made, the #1 Pharmacist recommended vitamins and supplement brand*. *Based on a survey of pharmacists who recommend branded vitamins and supplements.",https://s3.amazonaws.com/YM_Ads/-3611572513148411380.png,484704867,3924.6301,475609
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,Instagram,12/30/23,Instagram,Direct,Link Post,10/1/23,1/1/24,Support your immune system now and enjoy moments ahead later with Nature Made Vitamin D Extra Strength.† ... See more,https://s3.amazonaws.com/YM_Ads/-2908431054472158160.png,459886805,1385.1636,167862
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,Instagram,12/30/23,Instagram,Direct,Video Post,10/1/23,1/1/24,"Freshen up your morning with vitamins from Nature Made, the #1 Pharmacist recommended vitamin and supplement brand*. *Based on a survey of pharmacists who recommend branded vitamins and supplements.",https://s3.amazonaws.com/YM_Ads/6863865683148825971.png,461460107,4848.0723,587517
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,OTT Streaming Services (General),12/30/23,OTT,Direct,Video,10/1/23,4/12/24,"Start your day with nature. May the number one pharmacist, recommended vitamin and supplement brand.",https://s3.amazonaws.com/YM_Ads/ehY-e3QLglNeJqn_47JtdA.mp4,459444958,10410.1123,416382
"Pharmavite, LLC.",Nature Made,Nature Made Gummies,Nature Made Gummies,Nature Made Gummies,OTT Streaming Services (General),12/30/23,OTT,Direct,Video,8/31/23,4/12/24,Start your day with Nature Me. The number one pharmacist recommended vitamin and supplement brand.,https://s3.amazonaws.com/YM_Ads/PvOOi8IpKBqN6RyZ6uer2w.mp4,449086236,358.9694,14358
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,Pinterest,12/30/23,Pinterest,Direct,Video Post,12/24/23,1/20/24,Nature Made,https://s3.amazonaws.com/YM_Ads/-3979269681150753620.png,496067381,758.3928,109181
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,Pinterest,12/30/23,Pinterest,Direct,Photo Post,12/10/23,1/13/24,Nature Made,https://s3.amazonaws.com/YM_Ads/-5971194204359494850.png,488705389,65.9472,9494
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,Pinterest,12/30/23,Pinterest,Direct,Photo Post,10/1/23,12/31/23,Give your immune system a head start†,https://s3.amazonaws.com/YM_Ads/-203458659359793659.png,459869866,4385.4888,631351
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,Pinterest,12/30/23,Pinterest,Direct,Video Post,10/1/23,12/31/23,Give your immune system a head start†,https://s3.amazonaws.com/YM_Ads/2552987513883366740.png,459869824,1285.9703,185133
"Pharmavite, LLC.",Nature Made,Nature Made,Nature Made,Nature Made,Pinterest,12/30/23,Pinterest,Direct,Video Post,10/1/23,12/31/23,Give your immune system a head start†,https://s3.amazonaws.com/YM_Ads/8915449531976981985.png,459869743,1220.0232,175639
